student,applabel,topicorder,courseorder,relativetime,durationseconds
user0065,QUIZPET,1,9,702661,10
user0065,QUIZPET,1,9,702681,20
user0065,QUIZPET,1,9,702690,8
user0065,QUIZPET,1,9,702706,17
user0065,QUIZPET,1,9,702718,6
user0065,QUIZPET,1,10,702738,14
user0065,QUIZPET,1,10,702751,13
user0065,QUIZPET,1,10,702823,30
user0065,QUIZPET,1,11,702862,36
user0065,QUIZPET,1,11,702883,21
user0065,QUIZPET,1,9,702891,6
user0065,PARSONS,1,1,702905,10
user0065,PARSONS,1,2,702920,13
user0065,PARSONS,1,3,702949,27
user0065,PARSONS,1,3,702966,17
user0065,ANIMATED_EXAMPLE,1,4,702973,4
user0065,ANIMATED_EXAMPLE,1,5,702979,2
user0065,ANIMATED_EXAMPLE,1,5,702981,2
user0065,ANIMATED_EXAMPLE,1,5,702982,2
user0065,ANIMATED_EXAMPLE,1,5,702984,2
user0065,ANIMATED_EXAMPLE,1,5,702986,2
user0065,ANIMATED_EXAMPLE,1,5,702987,1
user0065,ANIMATED_EXAMPLE,1,5,702988,2
user0065,ANIMATED_EXAMPLE,1,6,702995,5
user0065,ANIMATED_EXAMPLE,1,6,702997,2
user0065,ANIMATED_EXAMPLE,1,6,702999,2
user0065,ANIMATED_EXAMPLE,1,7,703006,5
user0065,ANIMATED_EXAMPLE,1,7,703010,4
user0065,ANIMATED_EXAMPLE,1,7,703012,2
user0065,ANIMATED_EXAMPLE,1,8,703020,3
user0065,ANIMATED_EXAMPLE,1,8,703021,1
user0065,ANIMATED_EXAMPLE,1,8,703022,1
user0065,ANIMATED_EXAMPLE,1,8,703023,1
user0065,ANIMATED_EXAMPLE,1,8,703024,1
user0065,ANIMATED_EXAMPLE,1,8,703026,2
user0065,WEBEX,1,13,703202,3
user0065,WEBEX,1,13,703205,3
user0065,WEBEX,1,22,703209,2
user0065,WEBEX,1,22,703211,5
user0065,WEBEX,1,22,703216,4
user0065,WEBEX,1,22,703220,2
user0065,WEBEX,1,22,703222,1
user0065,WEBEX,1,14,703225,1
user0065,WEBEX,1,14,703226,1
user0065,WEBEX,1,14,703227,1
user0065,WEBEX,1,14,703228,1
user0065,WEBEX,1,14,703229,1
user0065,WEBEX,1,14,703230,1
user0065,WEBEX,1,15,703232,1
user0065,WEBEX,1,15,703234,2
user0065,WEBEX,1,15,703236,1
user0065,WEBEX,1,15,703237,1
user0065,WEBEX,1,15,703238,1
user0065,WEBEX,1,16,1630023,6
user0065,WEBEX,1,16,1630029,2
user0065,WEBEX,1,16,1630031,2
user0065,WEBEX,1,16,1630033,2
user0065,WEBEX,1,16,1630035,1
user0065,WEBEX,1,16,1630037,1
user0065,WEBEX,1,16,1630038,2
user0065,WEBEX,1,16,1630040,4
user0065,WEBEX,1,17,4849921,2
user0065,WEBEX,1,17,4849924,1
user0065,WEBEX,1,17,4849925,1
user0065,WEBEX,1,17,4849926,1
user0065,WEBEX,1,17,4849926,1
user0065,WEBEX,1,17,4849927,2
user0065,WEBEX,1,18,4849930,1
user0065,WEBEX,1,18,4849931,1
user0065,WEBEX,1,18,4849932,1
user0065,WEBEX,1,19,4849934,1
user0065,WEBEX,1,19,4849935,1
user0065,WEBEX,1,19,4849935,1
user0065,WEBEX,1,19,4849936,2
user0065,WEBEX,1,19,4849939,1
user0065,WEBEX,1,19,4849940,2
user0065,WEBEX,1,21,4849943,1
user0065,WEBEX,1,21,4849944,1
user0065,WEBEX,1,21,4849945,1
user0065,WEBEX,1,21,4849946,1
user0065,WEBEX,1,21,4849946,1
user0065,WEBEX,1,21,4849947,1
user0065,WEBEX,1,20,4849950,2
user0065,WEBEX,1,20,4849952,1
user0065,WEBEX,1,20,4849953,8
user0065,QUIZPET,3,31,4849981,18
user0065,QUIZPET,3,31,4849989,8
user0065,PARSONS,3,28,4850014,21
user0065,PARSONS,3,29,4850035,20
user0065,PARSONS,3,29,4850048,13
user0065,ANIMATED_EXAMPLE,3,30,4850053,3
user0065,ANIMATED_EXAMPLE,3,30,4850054,1
user0065,ANIMATED_EXAMPLE,3,30,4850057,3
user0065,ANIMATED_EXAMPLE,3,30,4850059,3
user0065,ANIMATED_EXAMPLE,3,30,4850062,3
user0065,ANIMATED_EXAMPLE,3,30,4850065,3
user0065,WEBEX,3,32,4850068,1
user0065,WEBEX,3,32,4850069,1
user0065,WEBEX,3,32,4850071,1
user0065,QUIZPET,4,40,4850090,14
user0065,QUIZPET,4,41,4850117,23
user0065,PARSONS,4,33,4850167,47
user0065,PARSONS,4,34,4850284,115
user0065,ANIMATED_EXAMPLE,4,35,4850288,3
user0065,ANIMATED_EXAMPLE,4,35,4850291,3
user0065,ANIMATED_EXAMPLE,4,35,4850292,1
user0065,ANIMATED_EXAMPLE,4,35,4850294,1
user0065,ANIMATED_EXAMPLE,4,36,4850297,3
user0065,ANIMATED_EXAMPLE,4,36,4850299,2
user0065,ANIMATED_EXAMPLE,4,36,4850300,2
user0065,ANIMATED_EXAMPLE,4,36,4850302,2
user0065,ANIMATED_EXAMPLE,4,36,4850303,1
user0065,ANIMATED_EXAMPLE,4,36,4850305,2
user0065,ANIMATED_EXAMPLE,4,37,4850309,2
user0065,ANIMATED_EXAMPLE,4,37,4850309,1
user0065,ANIMATED_EXAMPLE,4,37,4850311,2
user0065,ANIMATED_EXAMPLE,4,37,4850313,2
user0065,ANIMATED_EXAMPLE,4,37,4850314,1
user0065,ANIMATED_EXAMPLE,4,36,4850319,3
user0065,ANIMATED_EXAMPLE,4,36,4850321,2
user0065,ANIMATED_EXAMPLE,4,36,4850323,2
user0065,ANIMATED_EXAMPLE,4,36,4850325,2
user0065,ANIMATED_EXAMPLE,4,36,4850326,1
user0065,ANIMATED_EXAMPLE,4,36,4850327,2
user0065,ANIMATED_EXAMPLE,4,38,4850333,3
user0065,ANIMATED_EXAMPLE,4,38,4850334,1
user0065,ANIMATED_EXAMPLE,4,38,4850336,2
user0065,ANIMATED_EXAMPLE,4,38,4850337,1
user0065,ANIMATED_EXAMPLE,4,39,4850341,3
user0065,ANIMATED_EXAMPLE,4,39,4850342,1
user0065,ANIMATED_EXAMPLE,4,39,4850344,2
user0065,ANIMATED_EXAMPLE,4,39,4850345,1
user0065,ANIMATED_EXAMPLE,4,39,4850346,1
user0065,ANIMATED_EXAMPLE,4,39,4850347,1
user0065,ANIMATED_EXAMPLE,4,35,4850360,2
user0065,ANIMATED_EXAMPLE,4,35,4850364,5
user0065,ANIMATED_EXAMPLE,4,35,4850366,2
user0065,ANIMATED_EXAMPLE,4,35,4850368,2
user0065,ANIMATED_EXAMPLE,4,36,4850379,3
user0065,ANIMATED_EXAMPLE,4,36,4850381,2
user0065,ANIMATED_EXAMPLE,4,36,4850384,3
user0065,ANIMATED_EXAMPLE,4,36,4850386,2
user0065,ANIMATED_EXAMPLE,4,36,4850387,1
user0065,ANIMATED_EXAMPLE,4,36,4850390,2
user0065,WEBEX,4,42,4850401,1
user0065,WEBEX,4,42,4850402,1
user0065,WEBEX,4,42,4850403,1
user0065,WEBEX,4,42,4850404,1
user0065,WEBEX,4,43,4850405,1
user0065,WEBEX,4,43,4850406,1
user0065,WEBEX,4,43,4850407,1
user0065,WEBEX,4,43,4850408,1
user0065,WEBEX,4,43,4850408,1
user0065,WEBEX,4,43,4850409,1
user0065,WEBEX,4,43,4850410,1
user0065,WEBEX,4,44,4850412,1
user0065,WEBEX,4,44,4850413,1
user0065,WEBEX,4,44,4850414,1
user0065,WEBEX,4,44,4850415,1
user0065,WEBEX,4,44,4850416,1
user0065,WEBEX,4,44,4850418,1
user0065,WEBEX,4,45,4850420,1
user0065,WEBEX,4,45,4850421,1
user0065,WEBEX,4,45,4850422,1
user0065,WEBEX,4,45,4850423,1
user0065,WEBEX,4,45,4850424,1
user0065,WEBEX,4,45,4850424,1
user0065,WEBEX,4,45,4850425,1
user0065,WEBEX,4,45,4850426,1
user0065,WEBEX,4,45,4850427,1
user0065,WEBEX,4,45,4850428,1
user0065,WEBEX,4,45,4850428,1
user0065,WEBEX,4,45,4850430,1
user0065,WEBEX,4,46,4850431,1
user0065,WEBEX,4,46,4850432,1
user0065,WEBEX,4,46,4850433,1
user0065,WEBEX,4,46,4850434,3
user0065,WEBEX,4,46,4850438,1
user0065,WEBEX,4,46,4850439,1
user0065,WEBEX,4,46,4850439,1
user0065,WEBEX,4,46,4850440,1
user0065,WEBEX,4,46,4850441,1
user0065,WEBEX,4,46,4850442,2
user0065,WEBEX,4,47,4850446,1
user0065,WEBEX,4,47,4850447,1
user0065,WEBEX,4,47,4850448,1
user0065,WEBEX,4,47,4850450,2
user0065,WEBEX,4,47,4850451,1
user0065,WEBEX,4,47,4850452,2
user0065,WEBEX,4,48,4850455,1
user0065,WEBEX,4,48,4850457,1
user0065,WEBEX,4,48,4850457,1
user0065,WEBEX,4,48,4850458,1
user0065,WEBEX,4,48,4850459,2
user0065,WEBEX,4,48,4850461,1
user0065,WEBEX,4,48,4850463,1
user0065,WEBEX,4,48,4850464,2
user0065,QUIZPET,5,51,6664641,107
user0065,QUIZPET,5,51,6664670,28
user0065,QUIZPET,5,51,6664684,14
user0065,ANIMATED_EXAMPLE,5,50,6664698,5
user0065,ANIMATED_EXAMPLE,5,50,6664699,1
user0065,ANIMATED_EXAMPLE,5,50,6664700,1
user0065,ANIMATED_EXAMPLE,5,50,6664704,4
user0065,ANIMATED_EXAMPLE,5,50,6664707,3
user0065,ANIMATED_EXAMPLE,5,50,6664709,2
user0065,ANIMATED_EXAMPLE,5,50,6664713,4
user0065,ANIMATED_EXAMPLE,5,50,6664716,3
user0065,WEBEX,5,52,6664725,2
user0065,WEBEX,5,52,6664728,2
user0065,WEBEX,5,52,6664729,1
user0065,WEBEX,5,52,6664731,2
user0065,WEBEX,5,52,6664732,1
user0065,WEBEX,5,52,6664734,10
user0065,WEBEX,5,52,6664744,1
user0065,WEBEX,5,53,6664749,2
user0065,WEBEX,5,53,6664751,2
user0065,WEBEX,5,53,6664753,2
user0065,WEBEX,5,53,6664754,2
user0065,WEBEX,5,53,6664756,1
user0065,WEBEX,5,53,6664757,1
user0065,WEBEX,5,53,6664758,1
user0065,WEBEX,5,53,6664759,1
user0065,WEBEX,5,53,6664760,1
user0065,ANIMATED_EXAMPLE,4,36,6664819,4
user0065,ANIMATED_EXAMPLE,4,36,6664821,2
user0065,ANIMATED_EXAMPLE,4,36,6664823,2
user0065,ANIMATED_EXAMPLE,4,36,6664824,2
user0065,ANIMATED_EXAMPLE,4,36,6664825,1
user0065,ANIMATED_EXAMPLE,4,36,6664827,2
user0065,PARSONS,5,49,6665311,47
user0065,PARSONS,5,49,6665329,19
user0065,PARSONS,5,49,6665374,36
user0065,QUIZPET,6,59,6665423,32
user0065,QUIZPET,6,59,6665441,18
user0065,QUIZPET,6,59,6665456,15
user0065,QUIZPET,6,59,6665464,9
user0065,QUIZPET,6,60,6665485,12
user0029,QUIZPET,1,9,452291,30
user0029,QUIZPET,1,9,452319,29
user0029,QUIZPET,1,10,452340,14
user0029,QUIZPET,1,11,452390,42
user0029,PARSONS,1,1,452430,32
user0029,PARSONS,1,2,452461,25
user0029,PARSONS,1,3,452520,55
user0029,PARSONS,1,3,452726,207
user0029,ANIMATED_EXAMPLE,1,4,452753,6
user0029,ANIMATED_EXAMPLE,1,5,452779,21
user0029,ANIMATED_EXAMPLE,1,5,452788,9
user0029,ANIMATED_EXAMPLE,1,5,452794,7
user0029,ANIMATED_EXAMPLE,1,5,452802,8
user0029,ANIMATED_EXAMPLE,1,5,452808,5
user0029,ANIMATED_EXAMPLE,1,5,452813,6
user0029,ANIMATED_EXAMPLE,1,5,452817,4
user0029,ANIMATED_EXAMPLE,1,6,452833,10
user0029,ANIMATED_EXAMPLE,1,6,452838,5
user0029,ANIMATED_EXAMPLE,1,6,452842,3
user0029,ANIMATED_EXAMPLE,1,7,452857,11
user0029,ANIMATED_EXAMPLE,1,7,452873,17
user0029,ANIMATED_EXAMPLE,1,7,452877,3
user0029,ANIMATED_EXAMPLE,1,8,452886,6
user0029,ANIMATED_EXAMPLE,1,8,452889,3
user0029,ANIMATED_EXAMPLE,1,8,452893,4
user0029,ANIMATED_EXAMPLE,1,8,452896,3
user0029,ANIMATED_EXAMPLE,1,8,452899,3
user0029,ANIMATED_EXAMPLE,1,8,452905,5
user0029,WEBEX,1,13,452921,5
user0029,WEBEX,1,13,452926,15
user0029,WEBEX,1,22,452948,2
user0029,WEBEX,1,22,452951,4
user0029,WEBEX,1,22,452955,3
user0029,WEBEX,1,22,452958,12
user0029,WEBEX,1,22,452970,8
user0029,WEBEX,1,14,452981,4
user0029,WEBEX,1,14,452985,12
user0029,WEBEX,1,14,452997,41
user0029,WEBEX,1,14,453038,15
user0029,WEBEX,1,14,453053,26
user0029,WEBEX,1,14,453079,22
user0029,WEBEX,1,15,453112,3
user0029,WEBEX,1,15,453116,3
user0029,WEBEX,1,15,453119,3
user0029,WEBEX,1,15,453122,15
user0029,WEBEX,1,15,453137,15
user0029,WEBEX,1,15,453152,17
user0029,WEBEX,1,15,453169,15
user0029,WEBEX,1,15,453184,11
user0029,WEBEX,1,16,453202,10
user0029,WEBEX,1,16,453212,2
user0029,WEBEX,1,16,453214,3
user0029,WEBEX,1,16,453217,3
user0029,WEBEX,1,16,453220,4
user0029,WEBEX,1,16,453224,3
user0029,WEBEX,1,16,453227,4
user0029,WEBEX,1,16,453230,6
user0029,WEBEX,1,17,453239,2
user0029,WEBEX,1,17,453241,5
user0029,WEBEX,1,17,453246,4
user0029,WEBEX,1,17,453250,4
user0029,WEBEX,1,17,453254,6
user0029,WEBEX,1,17,453259,5
user0029,WEBEX,1,18,453267,2
user0029,WEBEX,1,18,453269,9
user0029,WEBEX,1,18,453279,6
user0029,WEBEX,1,19,453298,2
user0029,WEBEX,1,19,453300,3
user0029,WEBEX,1,19,453302,2
user0029,WEBEX,1,19,453304,2
user0029,WEBEX,1,19,453306,10
user0029,WEBEX,1,19,453316,9
user0029,WEBEX,1,20,453328,40
user0029,WEBEX,1,20,453368,16
user0029,WEBEX,1,20,453384,16
user0029,WEBEX,1,21,453402,4
user0029,WEBEX,1,21,453407,4
user0029,WEBEX,1,21,453411,2
user0029,WEBEX,1,21,453413,2
user0029,WEBEX,1,21,453415,3
user0029,WEBEX,1,21,453418,6
user0029,WEBEX,1,21,453424,10
user0029,WEBEX,1,21,453435,4
user0029,QUIZPET,4,40,453471,27
user0029,QUIZPET,4,41,453562,82
user0029,PARSONS,4,33,453655,86
user0029,PARSONS,4,34,453883,223
user0029,ANIMATED_EXAMPLE,4,35,453903,14
user0029,ANIMATED_EXAMPLE,4,35,453912,9
user0029,ANIMATED_EXAMPLE,4,35,453918,6
user0029,ANIMATED_EXAMPLE,4,35,453921,3
user0029,ANIMATED_EXAMPLE,4,36,453934,8
user0029,ANIMATED_EXAMPLE,4,36,453938,5
user0029,ANIMATED_EXAMPLE,4,36,453943,5
user0029,ANIMATED_EXAMPLE,4,36,453948,5
user0029,ANIMATED_EXAMPLE,4,36,453952,4
user0029,ANIMATED_EXAMPLE,4,36,453961,10
user0029,ANIMATED_EXAMPLE,4,37,453972,7
user0029,ANIMATED_EXAMPLE,4,37,453974,2
user0029,ANIMATED_EXAMPLE,4,37,453980,5
user0029,ANIMATED_EXAMPLE,4,37,453985,5
user0029,ANIMATED_EXAMPLE,4,37,453989,4
user0029,WEBEX,4,42,454004,3
user0029,WEBEX,4,42,454007,3
user0029,WEBEX,4,42,454009,14
user0029,WEBEX,4,42,454023,91
user0029,WEBEX,4,43,454116,5
user0029,WEBEX,4,43,454121,3
user0029,WEBEX,4,43,454125,6
user0029,WEBEX,4,43,454131,10
user0029,WEBEX,4,43,454140,18
user0029,WEBEX,4,43,454158,14
user0029,WEBEX,4,43,454172,5
user0029,WEBEX,5,53,454181,7
user0029,WEBEX,5,53,454188,3
user0029,WEBEX,5,53,454191,20
user0029,WEBEX,5,53,454211,6
user0029,WEBEX,5,53,454217,19
user0029,WEBEX,5,53,454235,6
user0029,WEBEX,5,53,454242,16
user0029,WEBEX,5,53,454258,12
user0029,WEBEX,5,53,454270,7
user0029,WEBEX,4,46,454280,4
user0029,WEBEX,4,46,454284,5
user0029,WEBEX,4,46,454289,13
user0029,WEBEX,4,46,454302,26
user0029,WEBEX,4,46,454328,7
user0029,WEBEX,4,46,454335,4
user0029,WEBEX,4,46,454340,6
user0029,WEBEX,4,46,454345,6
user0029,WEBEX,4,46,454352,14
user0029,WEBEX,4,46,454366,10
user0029,WEBEX,4,46,454376,9
user0029,WEBEX,4,47,454390,3
user0029,WEBEX,4,47,454393,3
user0029,WEBEX,4,47,454396,7
user0029,WEBEX,4,47,454403,9
user0029,WEBEX,4,47,454413,100
user0029,WEBEX,4,47,454512,4
user0029,WEBEX,4,47,454516,4
user0029,WEBEX,4,47,454520,3
user0029,WEBEX,4,47,454523,117
user0029,WEBEX,-1,-1,454644,3
user0029,WEBEX,-1,-1,454648,34
user0029,WEBEX,-1,-1,454681,4
user0029,WEBEX,-1,-1,454685,19
user0029,ANIMATED_EXAMPLE,4,36,454714,4
user0029,ANIMATED_EXAMPLE,4,36,454717,3
user0029,ANIMATED_EXAMPLE,4,36,454719,2
user0029,ANIMATED_EXAMPLE,4,36,454721,1
user0029,ANIMATED_EXAMPLE,4,36,454721,1
user0029,ANIMATED_EXAMPLE,4,36,454723,1
user0029,ANIMATED_EXAMPLE,4,36,454748,4
user0029,ANIMATED_EXAMPLE,4,36,454749,2
user0029,ANIMATED_EXAMPLE,4,36,454751,2
user0029,ANIMATED_EXAMPLE,4,36,454752,1
user0029,ANIMATED_EXAMPLE,4,36,454753,1
user0029,ANIMATED_EXAMPLE,4,36,454755,2
user0029,ANIMATED_EXAMPLE,4,36,454774,3
user0029,ANIMATED_EXAMPLE,4,36,454775,1
user0029,ANIMATED_EXAMPLE,4,36,454776,1
user0029,ANIMATED_EXAMPLE,4,36,454778,1
user0029,ANIMATED_EXAMPLE,4,36,454779,1
user0029,ANIMATED_EXAMPLE,4,36,454780,1
user0029,QUIZPET,6,59,1054529,14
user0029,QUIZPET,6,60,1054555,22
user0029,QUIZPET,6,61,1054597,34
user0029,PARSONS,6,54,1054662,46
user0029,PARSONS,6,54,1054675,13
user0029,PARSONS,6,55,1054710,30
user0029,ANIMATED_EXAMPLE,6,57,1054728,8
user0029,ANIMATED_EXAMPLE,6,57,1054731,3
user0029,ANIMATED_EXAMPLE,6,57,1054735,3
user0029,ANIMATED_EXAMPLE,6,57,1054739,4
user0029,ANIMATED_EXAMPLE,6,57,1054742,3
user0029,ANIMATED_EXAMPLE,6,57,1054743,1
user0029,ANIMATED_EXAMPLE,6,57,1054745,2
user0029,ANIMATED_EXAMPLE,6,57,1054746,1
user0029,ANIMATED_EXAMPLE,6,57,1054747,1
user0029,ANIMATED_EXAMPLE,6,57,1054749,2
user0029,ANIMATED_EXAMPLE,6,57,1054751,1
user0029,ANIMATED_EXAMPLE,6,57,1054752,1
user0029,ANIMATED_EXAMPLE,6,58,1054771,15
user0029,ANIMATED_EXAMPLE,6,58,1054778,7
user0029,ANIMATED_EXAMPLE,6,58,1054780,2
user0029,ANIMATED_EXAMPLE,6,58,1054787,6
user0029,ANIMATED_EXAMPLE,6,58,1054787,1
user0029,ANIMATED_EXAMPLE,6,58,1054788,1
user0029,ANIMATED_EXAMPLE,6,58,1054789,1
user0029,ANIMATED_EXAMPLE,6,58,1054792,3
user0029,ANIMATED_EXAMPLE,6,58,1054792,1
user0029,ANIMATED_EXAMPLE,6,58,1054795,2
user0029,ANIMATED_EXAMPLE,6,58,1054796,1
user0029,WEBEX,6,62,1054802,3
user0029,WEBEX,6,62,1054805,19
user0029,WEBEX,6,62,1054824,12
user0029,WEBEX,6,62,1054836,6
user0029,WEBEX,6,62,1054842,128
user0029,WEBEX,6,63,1054974,2
user0029,WEBEX,6,63,1054976,7
user0029,WEBEX,6,63,1054983,10
user0029,WEBEX,6,63,1054993,10
user0029,WEBEX,6,63,1055002,11
user0029,WEBEX,6,63,1055013,10
user0029,WEBEX,6,63,1055024,3
user0029,WEBEX,6,63,1055027,4
user0029,WEBEX,6,64,1055033,3
user0029,WEBEX,6,64,1055036,6
user0029,WEBEX,6,65,1055045,2
user0029,WEBEX,6,65,1055047,18
user0029,WEBEX,6,65,1055065,26
user0029,WEBEX,-1,-1,1055095,3
user0029,WEBEX,-1,-1,1055098,17
user0029,WEBEX,-1,-1,1055115,6
user0029,WEBEX,-1,-1,1055121,6
user0029,WEBEX,-1,-1,1055127,9
user0029,WEBEX,-1,-1,1055140,6
user0029,WEBEX,-1,-1,1055146,15
user0029,WEBEX,-1,-1,1055161,8
user0029,WEBEX,-1,-1,1055168,13
user0029,WEBEX,-1,-1,1055182,177
user0029,WEBEX,-1,-1,1055361,4
user0029,WEBEX,-1,-1,1055365,5
user0029,WEBEX,-1,-1,1055370,2
user0029,WEBEX,-1,-1,1055372,32
user0029,WEBEX,-1,-1,1055404,7
user0029,WEBEX,-1,-1,1055414,11
user0029,WEBEX,-1,-1,1055425,17
user0029,QUIZPET,3,31,1055468,22
user0029,QUIZPET,3,31,1055482,14
user0029,QUIZPET,3,31,1055501,19
user0029,QUIZPET,5,51,1055580,75
user0029,QUIZPET,5,51,1055645,65
user0029,PARSONS,3,28,1055697,36
user0029,PARSONS,3,29,1055728,28
user0029,ANIMATED_EXAMPLE,3,30,1055768,20
user0029,ANIMATED_EXAMPLE,3,30,1055769,1
user0029,ANIMATED_EXAMPLE,3,30,1055771,2
user0029,ANIMATED_EXAMPLE,3,30,1055773,3
user0029,ANIMATED_EXAMPLE,3,30,1055779,6
user0029,ANIMATED_EXAMPLE,3,30,1055782,2
user0029,ANIMATED_EXAMPLE,5,50,1055833,47
user0029,ANIMATED_EXAMPLE,5,50,1055836,3
user0029,ANIMATED_EXAMPLE,5,50,1055839,3
user0029,ANIMATED_EXAMPLE,5,50,1055861,22
user0029,ANIMATED_EXAMPLE,5,50,1055871,10
user0029,ANIMATED_EXAMPLE,5,50,1055879,7
user0029,ANIMATED_EXAMPLE,5,50,1055891,12
user0029,ANIMATED_EXAMPLE,5,50,1055899,9
user0029,ANIMATED_EXAMPLE,4,38,1055917,12
user0029,ANIMATED_EXAMPLE,4,38,1055920,2
user0029,ANIMATED_EXAMPLE,4,38,1055926,6
user0029,ANIMATED_EXAMPLE,4,38,1055929,3
user0029,ANIMATED_EXAMPLE,4,39,1055939,5
user0029,ANIMATED_EXAMPLE,4,39,1055940,1
user0029,ANIMATED_EXAMPLE,4,39,1055942,2
user0029,ANIMATED_EXAMPLE,4,39,1055942,1
user0029,ANIMATED_EXAMPLE,4,39,1055943,1
user0029,ANIMATED_EXAMPLE,4,39,1055944,1
user0029,WEBEX,3,32,1055952,4
user0029,WEBEX,3,32,1055956,8
user0029,WEBEX,3,32,1055964,2
user0029,WEBEX,3,32,1055966,2
user0029,WEBEX,3,32,1055969,2
user0029,WEBEX,3,32,1055970,2
user0029,WEBEX,3,32,1055972,2
user0029,PARSONS,6,56,7103504,38
user0029,WEBEX,4,44,7180686,5
user0029,WEBEX,4,44,7180692,5
user0029,WEBEX,4,44,7180696,4
user0029,WEBEX,4,44,7180700,4
user0029,WEBEX,4,44,7180704,3
user0029,WEBEX,4,44,7180707,3
user0029,WEBEX,4,44,7180710,5
user0029,WEBEX,4,44,7180715,3
user0029,WEBEX,4,44,7180718,2
user0029,WEBEX,4,45,7180722,4
user0029,WEBEX,4,45,7180726,3
user0029,WEBEX,4,45,7180729,2
user0029,WEBEX,4,45,7180731,4
user0029,WEBEX,4,45,7180735,3
user0029,WEBEX,4,45,7180738,2
user0029,WEBEX,4,45,7180740,2
user0029,WEBEX,4,45,7180741,1
user0029,WEBEX,4,45,7180743,1
user0029,WEBEX,4,45,7180744,1
user0029,WEBEX,4,45,7180746,2
user0029,WEBEX,4,45,7180747,2
user0029,WEBEX,4,45,7180749,1
user0029,WEBEX,4,45,7180750,3
user0029,WEBEX,4,48,7180755,8
user0029,WEBEX,4,48,7180763,3
user0029,WEBEX,4,48,7180766,3
user0029,WEBEX,4,48,7180769,4
user0029,WEBEX,4,48,7180773,2
user0029,WEBEX,4,48,7180775,8
user0029,WEBEX,4,48,7180783,5
user0029,WEBEX,4,48,7180788,9
user0029,WEBEX,4,48,7180796,2
user0029,WEBEX,4,48,7180798,2
user0029,WEBEX,4,48,7180800,2
user0029,WEBEX,4,48,7180801,2
user0029,QUIZPET,15,158,7180905,90
user0029,QUIZPET,15,158,7180919,15
user0029,QUIZPET,15,159,7181048,124
