student,social,gender,take_exam,Fi,CBi,Vi,MApi,PApi,total_time,total_activity,qp_time,wa_time,qp_activity,wa_activity,total_time_be,total_activity_be,pretest,posttest,exam_norm,lgain_pp,lgain_pe
user0003,0,1,0,0.5,0.4,0.87,0.33,0,37,1,37,0,1,0,37,1,0.27,0.0,0.0,-0.36986301369863017,-0.36986301369863017
user0004,0,1,1,0.42,0.4,0.47,0.44,0.67,837,35,549,288,11,24,161,13,0.0,0.73,0.9,0.73,0.9
user0005,0,1,1,0.75,0.8,1,0.89,0.33,35,4,19,16,1,3,35,4,0.64,1.0,0.9,1.0,0.7222222222222223
user0006,0,1,1,0.58,0.05,0.8,0.67,0.56,0,0,0,0,0,0,0,0,0.09,0.0,0.71,-0.0989010989010989,0.6813186813186813
user0007,0,1,1,0.58,0.15,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0.09,1.0,0.81,1.0,0.7912087912087913
user0008,0,1,1,0.67,0.7,0.67,0.89,0.33,12859,830,7540,5319,106,724,4857,334,0.45,0.64,1.0,0.3454545454545454,1.0
user0009,0,1,1,0.58,0.65,0.8,0.78,0,3874,731,2646,1228,99,632,952,93,0.09,0.0,0.88,-0.0989010989010989,0.8681318681318682
user0010,0,1,1,0.83,0.85,0.67,0.83,0.89,1793,110,821,972,23,87,1793,110,0.18,0.0,0.85,-0.2195121951219512,0.8170731707317072
user0011,0,1,1,0.58,0.45,0.67,0.61,0.22,3201,263,1377,1824,27,236,3201,263,0.27,0.82,0.87,0.7534246575342465,0.821917808219178
user0012,0,1,1,0.42,0.3,0.4,0.67,0.67,0,0,0,0,0,0,0,0,0.18,0.36,0.33,0.2195121951219512,0.1829268292682927
user0013,0,1,0,0.33,0.55,0.53,0.67,0.5,0,0,0,0,0,0,0,0,0.09,0.0,0.0,-0.0989010989010989,-0.0989010989010989
user0015,0,1,1,0.58,0.85,0.73,0.78,0.83,0,0,0,0,0,0,0,0,0.27,0.0,0.85,-0.36986301369863017,0.7945205479452054
user0016,0,1,1,1,0.9,0.93,0.89,0.61,0,0,0,0,0,0,0,0,0.18,0.0,0.6,-0.2195121951219512,0.5121951219512194
user0017,0,0,1,0.33,0.35,0.6,0.56,0.17,1710,137,1210,500,27,110,1710,137,0.09,0.73,0.91,0.7032967032967032,0.9010989010989011
user0018,0,1,1,0.5,0.35,0.87,0.78,0.56,0,0,0,0,0,0,0,0,0.09,0.27,0.84,0.19780219780219782,0.8241758241758241
user0019,0,0,0,0.67,0.6,0.67,0.72,0.67,622,50,393,229,9,41,622,50,0.55,0.0,0.0,-1.2222222222222225,-1.2222222222222225
user0020,0,1,1,0.58,0.6,0.73,0.67,0.33,8149,747,5472,2677,129,618,8149,747,0.27,0.91,0.93,0.8767123287671234,0.904109589041096
user0021,0,1,1,0.67,0.65,1,0.94,0.83,0,0,0,0,0,0,0,0,0.18,0.0,0.93,-0.2195121951219512,0.9146341463414633
user0022,0,1,1,0.33,0.2,0.93,0.5,0,16882,559,10537,6345,160,399,1254,27,0.27,0.55,0.52,0.3835616438356165,0.3424657534246575
user0023,0,0,1,0.67,0.7,0.93,0.78,0.72,0,0,0,0,0,0,0,0,0.36,0.55,0.87,0.2968750000000001,0.796875
user0024,1,1, ,1,0.65,0.87,1,0.67,1706,185,1295,411,24,161,0,0,0.0,0.0,0.0,0.0,0.0
user0025,0,1,1,0.67,0.3,1,1,0,1953,125,1562,391,26,99,0,0,0.09,0.0,0.69,-0.0989010989010989,0.6593406593406593
user0026,0,1,1,0.83,0.5,0.67,0.67,0.67,2808,53,2797,11,50,3,51,1,0.09,0.55,0.91,0.5054945054945056,0.9010989010989011
user0027,0,1,1,0.58,0.65,0.67,0.78,0.67,203,81,69,134,3,78,0,0,0.27,0.64,0.94,0.5068493150684932,0.9178082191780821
user0028,0,1,1,0.58,0.5,1,0.72,0.44,0,0,0,0,0,0,0,0,0.27,0.0,0.89,-0.36986301369863017,0.8493150684931507
user0029,0,1,1,0.67,0.45,1,0.89,0.94,5037,381,1811,3226,33,348,3570,266,0.27,0.91,0.99,0.8767123287671234,0.9863013698630136
user0030,0,1,1,0.42,0.5,0.73,0.5,0.39,843,154,574,269,20,134,843,154,0.09,0.82,0.7,0.8021978021978021,0.6703296703296703
user0031,0,1,0,0.58,0.25,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0.36,0.0,0.0,-0.5625,-0.5625
user0032,0,1,1,0.5,0.15,0.8,0.67,0.44,614,108,482,132,23,85,614,108,0.09,0.0,0.65,-0.0989010989010989,0.6153846153846154
user0033,0,0,1,0.67,0.4,0.87,0.61,0.78,0,0,0,0,0,0,0,0,0.0,0.09,0.75,0.09,0.75
user0034,0,1,1,0.5,0.6,0.6,0.89,0.83,2460,94,2418,42,74,20,122,5,0.18,0.82,1.0,0.7804878048780486,1.0
user0035,0,0,1,0.33,0.55,0.6,0.5,0.5,123,10,99,24,2,8,123,10,0.36,0.36,0.58,0.0,0.34374999999999994
user0036,0,1,1,0.92,0.75,0.73,0.89,0.67,5206,322,3962,1244,72,250,5206,322,0.18,0.91,1.0,0.8902439024390243,1.0
user0037,0,1,1,0.58,0.5,0.8,0.83,0.83,1302,113,1025,277,26,87,577,13,0.0,0.82,0.97,0.82,0.97
user0038,0,1,1,0.33,0.3,0.53,0.5,0.61,0,0,0,0,0,0,0,0,0.09,0.18,0.51,0.0989010989010989,0.46153846153846156
user0039,0,1,1,0.5,0.7,0.73,0.94,1,0,0,0,0,0,0,0,0,0.64,0.18,0.82,-1.277777777777778,0.49999999999999983
user0040,0,0,1,0.42,0.1,0.27,0.44,0.44,0,0,0,0,0,0,0,0,0.27,0.91,0.96,0.8767123287671234,0.9452054794520548
user0041,0,1,1,0.83,0.9,1,0.83,1,0,0,0,0,0,0,0,0,0.09,0.0,0.57,-0.0989010989010989,0.5274725274725275
user0042,0,1,1,0.25,0.45,0.53,0.56,0.17,8207,892,4685,3522,132,760,2712,353,0.09,1.0,0.87,1.0,0.8571428571428571
user0044,0,0,1,0.58,0.45,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0.09,0.0,0.54,-0.0989010989010989,0.4945054945054946
user0045,1,1, ,0.83,0.55,0.73,0.72,0.72,8836,1060,6746,2090,331,729,2006,268,0.0,0.0,0.0,0.0,0.0
user0046,0,0,1,0.5,0.45,0.6,0.5,0.44,0,0,0,0,0,0,0,0,0.09,0.82,0.95,0.8021978021978021,0.945054945054945
user0047,0,1,1,0.5,0.3,0.53,0.33,0.5,0,0,0,0,0,0,0,0,0.09,0.73,0.69,0.7032967032967032,0.6593406593406593
user0048,0,1,1,0.33,0.35,0.73,0.56,0.5,0,0,0,0,0,0,0,0,0.09,0.09,0.46,0.0,0.4065934065934066
user0049,0,1,1,0.75,0.65,1,0.78,0.67,4238,489,2683,1555,76,413,2760,304,0.36,0.91,0.8,0.859375,0.6875000000000001
user0050,0,1,1,0.33,0.45,0.47,0.44,0.56,4427,850,2483,1944,82,768,37,1,0.09,0.27,0.81,0.19780219780219782,0.7912087912087913
user0051,0,1,1,0.58,0.25,0.6,0.72,0.94,415,11,415,0,11,0,0,0,0.09,0.64,0.91,0.6043956043956045,0.9010989010989011
user0052,0,1,1,0.92,0.9,0.93,0.83,0.83,349,82,154,195,7,75,349,82,0.91,0.91,0.95,0.0,0.44444444444444375
user0053,0,1,1,0.5,0.55,0.73,0.83,0.5,1777,281,1374,403,35,246,137,3,0.18,0.91,0.9,0.8902439024390243,0.8780487804878048
user0054,0,0,1,0.58,0.6,0.6,0.61,0.61,0,0,0,0,0,0,0,0,0.36,0.27,0.8,-0.14062499999999994,0.6875000000000001
user0055,0,1,1,0.5,0.45,0.33,0.56,0.61,987,124,811,176,33,91,987,124,0.18,0.0,0.66,-0.2195121951219512,0.5853658536585366
user0056,0,0,1,0.58,0.55,0.47,0.72,0.78,2469,116,2240,229,59,57,1139,87,0.0,0.73,0.77,0.73,0.77
user0057,0,1,1,0.67,0.8,0.8,0.72,0,0,0,0,0,0,0,0,0,0.64,0.73,0.71,0.24999999999999992,0.1944444444444443
user0058,0,1,1,0.58,0.55,0.53,0.72,0.56,0,0,0,0,0,0,0,0,0.18,0.09,0.34,-0.1097560975609756,0.19512195121951223
user0059,0,1,1,0.75,0.6,0.53,0.83,0,5438,441,4635,803,83,358,0,0,0.09,0.36,0.66,0.2967032967032967,0.6263736263736264
user0060,0,1,1,0.5,0.6,0.67,0.56,0.67,123,5,116,7,4,1,0,0,0.18,0.91,0.95,0.8902439024390243,0.9390243902439024
user0061,0,1,1,0.33,0,0.6,0.56,0.44,0,0,0,0,0,0,0,0,0.09,0.09,0.89,0.0,0.8791208791208791
user0062,0,1,1,0.33,0.65,0.8,0.72,0.83,559,88,428,131,13,75,559,88,0.45,0.64,0.94,0.3454545454545454,0.8909090909090908
user0063,0,1,1,0.42,0.65,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0.27,0.0,0.8,-0.36986301369863017,0.726027397260274
user0064,0, ,1, , , , , ,0,0,0,0,0,0,0,0,0.0,0.82,0.68,0.82,0.68
user0065,0,1,1,0.5,0.45,0.67,0.5,0.61,1225,238,864,361,35,203,820,197,0.09,0.0,0.76,-0.0989010989010989,0.7362637362637363
user0066,0,1,1,0.58,0.4,0.73,0.78,0.56,0,0,0,0,0,0,0,0,0.18,0.09,0.57,-0.1097560975609756,0.4756097560975609
user0067,0,1,1,0.58,0.55,0.93,0.72,0.83,1392,176,864,528,28,148,0,0,0.45,0.45,0.95,0.0,0.909090909090909
user0068,0,1,1,0.67,0.6,0.93,0.67,0.67,0,0,0,0,0,0,0,0,0.27,0.82,0.87,0.7534246575342465,0.821917808219178
user0069,0,1,0,0.67,0.5,0.8,0.56,0.61,0,0,0,0,0,0,0,0,0.27,0.0,0.0,-0.36986301369863017,-0.36986301369863017
user0070,0,1,1,0.5,0.7,0.93,1,0.56,26628,997,9738,16890,84,913,0,0,0.27,0.91,0.6,0.8767123287671234,0.4520547945205479
user0071,0,1,1,0,0.25,0.33,0.5,0.5,0,0,0,0,0,0,0,0,0.0,0.27,0.74,0.27,0.74
user0072,0,0,1,0.25,0.35,0.6,0.61,0.5,0,0,0,0,0,0,0,0,0.18,0.64,0.72,0.5609756097560975,0.6585365853658537
user0073,0,1,1,0.58,0.3,0.67,0.78,0.39,0,0,0,0,0,0,0,0,0.09,0.09,0.85,0.0,0.8351648351648352
user0074,0,1,0,0.25,0.6,0.6,0.06,0.06,0,0,0,0,0,0,0,0,0.18,0.0,0.0,-0.2195121951219512,-0.2195121951219512
user0075,0,1,1,0.75,0.6,1,0.94,0.94,0,0,0,0,0,0,0,0,0.55,0.64,0.78,0.19999999999999996,0.5111111111111111
user0076,0,1,1,0.5,0.75,0.67,0.83,0.67,0,0,0,0,0,0,0,0,0.45,0.82,0.84,0.6727272727272726,0.709090909090909
user0077,0,1,1,0.25,0.45,0.6,0.78,0.89,8243,83,8243,0,83,0,0,0,0.09,0.64,0.7,0.6043956043956045,0.6703296703296703
user0078,0, ,1, , , , , ,0,0,0,0,0,0,0,0,0.0,1.0,0.98,1.0,0.98
user0079,0,1,1,0.33,0.3,0.33,0.67,0.67,1541,294,1073,468,34,260,0,0,0.18,0.64,0.88,0.5609756097560975,0.8536585365853657
user0080,0,0,0,0.33,0.25,0.6,0.39,0.39,0,0,0,0,0,0,0,0,0.18,0.0,0.0,-0.2195121951219512,-0.2195121951219512
user0081,0,1,1,0.5,0.75,0.93,0.83,0.61,0,0,0,0,0,0,0,0,0.18,0.91,0.91,0.8902439024390243,0.8902439024390243
user0082,0,1,1,0.5,0.65,0.47,0.67,0.67,405,6,405,0,6,0,0,0,0.27,0.64,0.53,0.5068493150684932,0.35616438356164387
user0083,0,1,1,0.5,0.65,0.8,0.61,0.83,0,0,0,0,0,0,0,0,0.09,0.82,0.89,0.8021978021978021,0.8791208791208791
user0084,0,0,1,0.75,0.35,0.93,0.94,0.5,2020,265,1594,426,51,214,2020,265,0.0,0.0,0.81,0.0,0.81
user0085,0,1,0,0.42,0.6,0.67,0.67,0.44,31,2,31,0,2,0,31,2,0.45,0.0,0.0,-0.8181818181818181,-0.8181818181818181
user0086,0,1,1,0.67,0.65,0.93,0.72,0.33,0,0,0,0,0,0,0,0,0.27,0.91,0.88,0.8767123287671234,0.8356164383561644
user0088,0, ,1, , , , , ,10004,1040,6640,3364,279,761,2747,201,0.0,0.73,0.68,0.73,0.68
user0089,0, ,0, , , , , ,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
user0091,1, ,1, , , , , ,0,0,0,0,0,0,0,0,0.0,0.0,0.29,0.0,0.29
user0128,0,1,0,0.42,0.45,0.6,0.78,0.67,1264,67,484,780,12,55,1264,67,0.09,0.0,0.0,-0.0989010989010989,-0.0989010989010989
user0129,0,1,1,0.58,0.65,0.8,0.78,0.78,0,0,0,0,0,0,0,0,0.09,0.55,0.84,0.5054945054945056,0.8241758241758241
user0130,0,1,1,0.58,0.7,0.93,1,0.5,471,56,402,69,20,36,0,0,0.18,0.91,0.89,0.8902439024390243,0.8658536585365852
