student,grp,take_exam,social,gender,pretest,posttest,exam,Fi,CBi,Vi,MApi,PApi
user0089,G151,0,0, , , ,-1, , , , , 
user0064,G151,1,0, , ,0.82,68, , , , , 
user0091,G151,1,1, , , ,29, , , , , 
user0078,G151,1,0, , ,1,98, , , , , 
user0006,G151,1,0,1,0.09, ,71,0.58,0.05,0.8,0.67,0.56
user0013,G151,0,0,1,0.09, ,-1,0.33,0.55,0.53,0.67,0.5
user0069,G151,0,0,1,0.27, ,-1,0.67,0.5,0.8,0.56,0.61
user0074,G151,0,0,1,0.18, ,-1,0.25,0.6,0.6,0.06,0.06
user0080,G151,0,0,0,0.18, ,-1,0.33,0.25,0.6,0.39,0.39
user0038,G151,1,0,1,0.09,0.18,51,0.33,0.3,0.53,0.5,0.61
user0040,G151,1,0,0,0.27,0.91,96,0.42,0.1,0.27,0.44,0.44
user0046,G151,1,0,0,0.09,0.82,95,0.5,0.45,0.6,0.5,0.44
user0047,G151,1,0,1,0.09,0.73,69,0.5,0.3,0.53,0.33,0.5
user0048,G151,1,0,1,0.09,0.09,46,0.33,0.35,0.73,0.56,0.5
user0054,G151,1,0,0,0.36,0.27,80,0.58,0.6,0.6,0.61,0.61
user0071,G151,1,0,1,0,0.27,74,0,0.25,0.33,0.5,0.5
user0072,G151,1,0,0,0.18,0.64,72,0.25,0.35,0.6,0.61,0.5
user0086,G151,1,0,1,0.27,0.91,88,0.67,0.65,0.93,0.72,0.33
user0028,G151,1,0,1,0.27, ,89,0.58,0.5,1,0.72,0.44
user0057,G151,1,0,1,0.64,0.73,71,0.67,0.8,0.8,0.72,0
user0058,G151,1,0,1,0.18,0.09,34,0.58,0.55,0.53,0.72,0.56
user0061,G151,1,0,1,0.09,0.09,89,0.33,0,0.6,0.56,0.44
user0016,G151,1,0,1,0.18, ,60,1,0.9,0.93,0.89,0.61
user0066,G151,1,0,1,0.18,0.09,57,0.58,0.4,0.73,0.78,0.56
user0073,G151,1,0,1,0.09,0.09,85,0.58,0.3,0.67,0.78,0.39
